MoveIndex|Name|TMIndex|HMIndex|Type|Category|Power|Accuracy|PP|PPMax|Effect|MakesContact|Description|AttackAnimations
1|Tail Whip|-1|-1|Normal|Status|-1|100|30|48|Defence=-1|0|A move that lowers the target's Defence. Useful against tough, armored Pokemon.|
2|Tackle|-1|-1|Normal|Physical|50|100|35|56|None|1|Charges the foe with a full-body tackle.|
3|Growl|-1|-1|Normal|Status|-1|100|40|64|Attack=-1|0|The user growls in an endearing way, making the foe less wary. The target’s Attack stat is lowered.|
4|Leech Seed|-1|-1|Grass|Status|-1|90|10|16|Leech|0|A seed is planted on the foe. It steals some HP from the foe to heal the user on every turn.|
5|Vine Whip|-1|-1|Grass|Physical|35|100|15|24|None|1|The foe is struck with slender, whiplike vines.|
6|Poison Powder|-1|-1|Poison|Status|-1|75|35|56|Poison|0|A cloud of poisonous dust is scattered on the foe. It may poison the target.|
7|Sleep Powder|-1|-1|Grass|Status|-1|75|15|24|Sleep|0|The user scatters a big cloud of sleep-inducing dust around the foe.|
8|Take Down|-1|-1|Normal|Physical|90|85|20|32|Recoil=-25%|1|A reckless, full-body charge attack for slamming into the target. It also damages the user a little.|
9|Razor Leaf|-1|-1|Grass|Physical|55|95|25|40|CriticalHit=+1|0|Sharp-edged leaves are launched to slash at the foe. It has a high critical-hit ratio.|
10|Sweet Scent|-1|-1|Normal|Status|-1|100|20|32|Evasion=-1|0|A pleasant aroma that distracts the target, making the opponent easier to hit.|
11|Growth|-1|-1|Normal|Status|-1|-1|40|64|SpecialAttack=+1:User|0|The user’s body is forced to grow all at once. It raises the Sp. Atk stat.|
12|Double-Edge|-1|-1|Normal|Physical|120|100|15|24|Recoil=-25%|1|A reckless, life-risking tackle. It also damages the user by a fairly large amount, however.|
13|Worry Seed|-1|-1|Grass|Status|-1|100|10|16|Insomnia|0|A seed that causes worry is planted on the foe. It prevents sleep by making its ability Insomnia.|
14|Synthesis|-1|-1|Grass|Status|-1|-1|5|8|HP=+50%|0|Allows HP to be restored by the sunlight. In battle, half the user's max HP is restored.|
15|Seed Bomb|-1|-1|Grass|Physical|80|100|15|24|None|0|The user slams a barrage of hard-shelled seeds down on the target from above.|
16|Toxic|6|-1|Poison|Status|-1|90|10|16|PoisonBadly|0|A move that leaves the target badly poisoned. Its poison damage worsens every turn.|
17|Venoshock|9|-1|Poison|Special|65|100|15|16|Venoshock|0|The user drenches the target in a special poisonous liquid. Its power is doubled if the target is poisoned.|
18|Hidden Power|10|-1|Normal|Special|30|100|15|24|HiddenPower|0|An attack that varies in type and intensity depending on the user.|
19|Sunny Day|11|-1|Fire|Status|-1|-1|5|8|Sunny|0|The sun blazes for five turns, powering up Fire-type moves.|
20|Light Screen|16|-1|Psychic|Status|-1|-1|30|40|LightScreen|0|A wall of light cuts damage from Sp. Atk attacks for five turns.|
21|Protect|17|-1|Normal|Status|-1|-1|10|16|Priority=+3;Protect|0|It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|
22|Safeguard|20|-1|Normal|Status|-1|-1|25|40|Safeguard|0|The user creates a protective field that prevents status problems for five turns.|
23|Frustration|21|-1|Normal|Physical|-1|100|20|32|Frustration|1|An attack that is stronger if the trainer is disliked.|
24|SolarBeam|22|-1|Grass|Special|120|100|10|16|SolarBeam|0|A 2-turn move that blasts the foe with absorbed energy in the 2nd turn.|
25|Return|27|-1|Normal|Physical|-1|100|20|32|Return|1|This attack move grows more powerful the more the user likes its Trainer.|
26|Double Team|32|-1|Normal|Status|-1|-1|15|24|Evasion=+1:User|0|The user creates illusory copies of itself to raise its evasiveness.|
27|Sludge Bomb|36|-1|Poison|Special|90|100|10|16|Poison:Chance=30%|0|Unsanitary sludge is hurled at the target. It may also poison the target.|
28|Facade|42|-1|Normal|Physical|70|100|20|32|Facade|1|An attack move that doubles its power if the user is poisoned, burned, or has paralysis.|
29|Rest|44|-1|Psychic|Status|-1|-1|10|16|Sleep:User;HP=100%|0|The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.|
30|Attract|45|-1|Normal|Status|-1|100|15|24|Infatuated|0|If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.|
31|Fire Punch|-1|-1|Fire|Physical|75|100|15|24|Burn:Chance=10%|1|The target is punched with a fiery fist. It may also leave the target with a burn.|
32|Echoed Voice|49|-1|Normal|Special|40|100|15|24|EchoedVoice|0|The user attacks the target with an echoing voice. If this move is used every turn, it does greater damage.|
33|Energy Ball|53|-1|Grass|Special|80|100|10|16|SpecialDefence=-1:Chance=10%|0|The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.|
34|Flash|70|-1|Normal|Status|-1|100|20|32|Accuracy=-1|0|Looses a powerful blast of light that cuts accuracy.|
35|Swords Dance|75|-1|Normal|Status|-1|-1|30|40|Attack=+2:User|0|A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.|
36|Grass Knot|86|-1|Grass|Special|60|100|20|32|None|1|The user snares the target with grass and trips it. The heavier the target, the greater the damage.|
37|Swagger|87|-1|Normal|Status|-1|90|15|24|Attack=+2;Confusion|0|The user enrages and confuses the target. However, it also sharply raises the target's Attack stat.|
38|Substitute|90|-1|Normal|Status|-1|-1|10|16|Substitute|0|The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.|
39|Rock Smash|94|-1|Fighting|Physical|40|100|15|24|Defence=-1:Chance=50%|1|The user attacks with a punch that can shatter a rock. It may also lower the target's Defense stat|
40|Strength|-1|4|Normal|Physical|80|100|15|24|None|1|The target is slugged with a punch thrown at maximum power. This move can also be used to move boulders.|
41|Cut|-1|1|Normal|Physical|50|95|30|40|None|1|The target is cut with a scythe or a claw. It can also be used to cut down thin trees.|
42|Petal Dance|-1|-1|Grass|Special|120|100|10|16|PetalDance|1|The user attacks the target by scattering petals for two to three turns. The user then becomes confused.|
43|Scratch|-1|-1|Normal|Physical|40|100|35|56|None|1|Hard, pointed, and sharp claws rake the target to inflict damage.|
44|Ember|-1|-1|Fire|Special|40|100|25|40|Burn:Chance=10%|0|The target is attacked with small flames. It may also leave the target with a burn.|
45|SmokeScreen|-1|-1|Normal|Status|-1|100|20|32|Accuracy=-1|0|The user releases an obscuring cloud of smoke or ink. It reduces the target's accuracy.|
46|Dragon Rage|-1|-1|Dragon|Special|-1|100|10|16|Damage=+40|0|This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage|
47|Scary Face|-1|-1|Normal|Status|-1|100|10|16|Speed=-2|0|The user frightens the target with a scary face to harshly reduce its speed stat.|
48|Fire Fang|-1|-1|Fire|Physical|65|95|15|24|Burn:Chance=10%;Flinch:Chance=10%|1|The user bites with flame-cloaked fangs. It may also make the target flinch or leave it burned.|
49|Flame Burst|-1|-1|Fire|Special|70|100|15|24|None|0|The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.|
50|Slash|-1|-1|Normal|Physical|70|100|20|32|CriticalHit=+1|1|The target is attacked with a slash of claws or blades. Critical hits land more easily.|
51|Flamethrower|35|-1|Fire|Special|95|100|15|24|Burn:Chance=10%|0|The target is scorched with an intense blast of fire. It may also leave the target with a burn.|
52|Fire Spin|-1|-1|Fire|Special|35|85|15|24|Immobilize;Repeat=4to5|0|The target becomes trapped within a fierce vortex of fire that rages for four to five turns.|
